end,val,accn,fy,fp,form,filed,frame,unit,taxonomy,fact,cik,updated_date,start
2010-12-31,68503335.0,0001193125-11-003544,2011,Q1,10-Q,2011-01-07,CY2010Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2011-03-31,68595740.0,0001193125-11-092214,2011,Q2,10-Q,2011-04-08,CY2011Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2011-06-30,68626884.0,0001193125-11-184883,2011,Q3,10-Q,2011-07-08,CY2011Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2011-09-30,68922419.0,0001193125-11-285382,2011,FY,10-K,2011-10-28,CY2011Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2011-12-31,68144996.0,0001193125-12-006577,2012,Q1,10-Q,2012-01-09,CY2011Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2012-03-31,68310247.0,0001193125-12-153364,2012,Q2,10-Q,2012-04-06,CY2012Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2012-06-30,72850365.0,0001193125-12-297189,2012,Q3,10-Q,2012-07-09,CY2012Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2012-09-30,72880380.0,0001193125-12-437816,2012,FY,10-K,2012-10-26,CY2012Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2012-12-31,72941967.0,0001193125-13-006280,2013,Q1,10-Q,2013-01-08,CY2012Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2013-03-31,73185832.0,0000006955-13-000007,2013,Q2,10-Q,2013-04-08,CY2013Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2013-06-30,73256926.0,0000006955-13-000010,2013,Q3,10-Q,2013-07-09,CY2013Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2013-09-30,73042303.0,0000006955-13-000013,2013,FY,10-K,2013-10-25,CY2013Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2013-12-31,72772165.0,0000006955-14-000003,2014,Q1,10-Q,2014-01-08,CY2013Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2014-03-31,71016289.0,0000006955-14-000009,2014,Q2,10-Q,2014-04-08,CY2014Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2014-06-30,68729699.0,0000006955-14-000014,2014,Q3,10-Q,2014-07-09,CY2014Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2014-09-30,64969276.0,0000006955-14-000017,2014,FY,10-K,2014-10-27,CY2014Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2014-12-31,61678585.0,0000006955-15-000005,2015,Q1,10-Q,2015-01-09,CY2014Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2015-03-31,59559185.0,0000006955-15-000023,2015,Q2,10-Q,2015-04-08,CY2015Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2015-06-30,59478846.0,0000006955-15-000037,2015,Q3,10-Q,2015-07-09,CY2015Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2015-09-30,59691611.0,0000006955-15-000046,2015,FY,10-K,2015-10-28,CY2015Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2015-12-31,58905451.0,0000006955-16-000051,2016,Q1,10-Q,2016-01-08,CY2015Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2016-03-31,58880671.0,0000006955-16-000071,2016,Q2,10-Q,2016-04-08,CY2016Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2016-06-30,58928350.0,0000006955-16-000077,2016,Q3,10-Q,2016-07-08,CY2016Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2016-09-30,58960716.0,0000006955-16-000084,2016,FY,10-K,2016-10-28,CY2016Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2016-12-31,59185472.0,0001628280-17-000154,2017,Q1,10-Q,2017-01-09,CY2016Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2017-03-31,59682865.0,0000006955-17-000021,2017,Q2,10-Q,2017-04-07,CY2017Q1I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2017-06-30,59696085.0,0000006955-17-000029,2017,Q3,10-Q,2017-07-07,CY2017Q2I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2017-09-30,59820308.0,0000006955-17-000038,2017,FY,10-K,2017-10-26,CY2017Q3I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
2017-12-31,60007521.0,0000006955-18-000003,2018,Q1,10-Q,2018-01-08,CY2017Q4I,shares,EntityCommonStockSharesOutstanding,dei,6955,2024-05-31,
